total,pde,boundary,initial
1.172464936971664429e-01,4.697775095701217651e-02,1.626931363716721535e-03,6.864181160926818848e-02
1.341980099678039551e-01,4.692916199564933777e-02,2.305717207491397858e-03,8.496312797069549561e-02
1.231848895549774170e-01,4.772801697254180908e-02,3.489031689241528511e-03,7.196784019470214844e-02
1.227132007479667664e-01,5.053120106458663940e-02,3.532813396304845810e-03,6.864918768405914307e-02
1.328063309192657471e-01,5.444487184286117554e-02,2.653138246387243271e-03,7.570831477642059326e-02
1.284096539020538330e-01,4.960974305868148804e-02,2.041189465671777725e-03,7.675872743129730225e-02
1.273973435163497925e-01,5.218522250652313232e-02,1.861403230577707291e-03,7.335072010755538940e-02
1.184057593345642090e-01,5.032403022050857544e-02,1.157720689661800861e-03,6.692400574684143066e-02
1.316042989492416382e-01,5.382753163576126099e-02,1.472199452109634876e-03,7.630456984043121338e-02
1.282660812139511108e-01,5.163572728633880615e-02,1.664099516347050667e-03,7.496625185012817383e-02
1.301612108945846558e-01,5.492631718516349792e-02,1.340270042419433594e-03,7.389461994171142578e-02
1.147331446409225464e-01,5.264351516962051392e-02,1.474350923672318459e-03,6.061527505517005920e-02
1.328487992286682129e-01,6.055772304534912109e-02,1.682806643657386303e-03,7.060827314853668213e-02
1.151361390948295593e-01,5.050966888666152954e-02,2.041487488895654678e-03,6.258498132228851318e-02
1.254365742206573486e-01,6.009148433804512024e-02,2.344450214877724648e-03,6.300064176321029663e-02
1.329197585582733154e-01,6.309146434068679810e-02,1.411271514371037483e-03,6.841702759265899658e-02
1.316924095153808594e-01,6.311973929405212402e-02,1.397227169945836067e-03,6.717544794082641602e-02
1.222244948148727417e-01,5.497311800718307495e-02,1.119035296142101288e-03,6.613234430551528931e-02
1.290549933910369873e-01,5.899289250373840332e-02,1.119714695960283279e-03,6.894238293170928955e-02
1.105457544326782227e-01,4.975035786628723145e-02,1.229428336955606937e-03,5.956597253680229187e-02
1.225098669528961182e-01,5.335048958659172058e-02,1.180085819214582443e-03,6.797929108142852783e-02
1.219131946563720703e-01,5.487228929996490479e-02,1.132383244112133980e-03,6.590852141380310059e-02
1.151140555739402771e-01,5.054465681314468384e-02,6.359276594594120979e-04,6.393346935510635376e-02
1.069314926862716675e-01,4.230103641748428345e-02,9.172378340736031532e-04,6.371322274208068848e-02
1.213460862636566162e-01,5.486842989921569824e-02,1.011448679491877556e-03,6.546621024608612061e-02
1.239826530218124390e-01,5.401786416769027710e-02,1.690170727670192719e-03,6.827461719512939453e-02
1.206144690513610840e-01,5.455997586250305176e-02,1.438683131709694862e-03,6.461580842733383179e-02
1.095476448535919189e-01,5.014128983020782471e-02,1.460323575884103775e-03,5.794602632522583008e-02
1.140067949891090393e-01,5.132587254047393799e-02,1.062637078575789928e-03,6.161828711628913879e-02
1.206003278493881226e-01,5.005826056003570557e-02,6.303938571363687515e-04,6.991167366504669189e-02
